Variable_Type,Dependent_Variable_Index,Most_Influential_PCA_Component,Max_Coefficient,Mean_Coefficient,Std_Coefficient
Curvatures,0,6,0.007478522963710593,0.002604348586798937,0.0017974882668434055
Curvatures,1,6,0.008565727521509754,0.0036564285726335194,0.0016918277811979836
Curvatures,2,8,0.008192379193610039,0.003919607490470917,0.002063534866849172
Curvatures,3,8,0.00912090641282172,0.0034531517747466312,0.0027629943938639484
Curvatures,4,8,0.007040266520608361,0.0031938318354513095,0.0021958359397776625
Curvatures,5,7,0.006405727439448803,0.003154390682909166,0.001869464840514035
Curvatures,6,7,0.008448467028356712,0.0032340507801056524,0.0023865327842244265
Curvatures,7,6,0.008990613787290064,0.003651643203773137,0.0024863670110988724
Curvatures,8,6,0.0079582283593407,0.0038725542908191303,0.002397277416589089
Curvatures,9,10,0.00728353268879634,0.004023491050982401,0.002187510353009008
Curvatures,10,10,0.009383473354814658,0.003913349628340643,0.002371689034214423
Curvatures,11,10,0.010049171671219423,0.0038655098293939815,0.0025195900654178312
Curvatures,12,10,0.009084429939886392,0.003428708835580622,0.0029902006497781754
Curvatures,13,6,0.009499648050014766,0.003067300606600497,0.002669156953244753
Curvatures,14,6,0.00913285930112327,0.0026946884709751354,0.00203603950333194
Curvatures,15,6,0.008012328348722243,0.002173272789484314,0.001840768779182866
Curvatures,16,6,0.006253841982700945,0.002002087699115504,0.0017119303232259117
Curvatures,17,9,0.006174412224306394,0.00234446877000735,0.0014312848085022791
Curvatures,18,9,0.005731544683204436,0.0023936166346609396,0.0016392736096115406
Curvatures,19,3,0.005428646692021786,0.0022777227178987815,0.0017417033088853388
Curvatures,20,3,0.006623747987070771,0.0021533137974973993,0.0016315343972222764
Curvatures,21,15,0.006946967921002129,0.0020256385931779414,0.00201276612148849
Curvatures,22,15,0.01253859444101121,0.002554520733000745,0.002819226741777206
Curvatures,23,15,0.015343729292375029,0.0035122501644821347,0.0033343321871768324
Curvatures,24,15,0.012976316295061345,0.00378160500139198,0.0031439279626835166
Curvatures,25,6,0.008134020374177141,0.0034858164114851013,0.0023646485128349763
Curvatures,26,6,0.009674706313571634,0.003114409134289272,0.002524526867226948
Curvatures,27,6,0.010600831108927972,0.003673741607268099,0.0027556301145918935
Curvatures,28,6,0.010102606427230168,0.003962081949349376,0.002316553330500614
Curvatures,29,6,0.007955315828872963,0.003657346200835873,0.0022776797178972776
Curvatures,30,5,0.009653064780050265,0.004505906083892593,0.0029456439256775554
Curvatures,31,3,0.01390959428012282,0.00636190637002978,0.003969576404644332
Curvatures,32,3,0.01764136269586066,0.007430440738168771,0.004831419277638
Curvatures,33,3,0.017776942235745368,0.007113528147077619,0.004945934164545249
Curvatures,34,15,0.01621810660704925,0.005475149708924923,0.004787180826814311
