Variable_Type,Dependent_Variable_Index,Most_Influential_PCA_Component,Max_Coefficient,Mean_Coefficient,Std_Coefficient,Coefficient_Value_1,Coefficient_Value_2,Coefficient_Value_3,Coefficient_Value_4,Coefficient_Value_5,Coefficient_Value_6,Coefficient_Value_7,Coefficient_Value_8,Coefficient_Value_9,Coefficient_Value_10,Coefficient_Value_11,Coefficient_Value_12,Coefficient_Value_13,Coefficient_Value_14,Coefficient_Value_15,Coefficient_Value_16
Curvatures,0,0,0.023712465460051152,0.007841177822144586,0.006677404063747277,0.023712465460051152,0.0031658203942254155,0.010210714153727134,0.013756695282571434,0.005371455890444411,0.007778761109177831,0.022360556406226056,0.005736346936384008,0.0024681008447729126,0.007397313329852189,0.00046553886159408735,0.0015723386325967993,0.009172166686039516,0.006299046485305646,0.004378070833169864,0.001613453848174914
Curvatures,1,6,0.025613219959818526,0.010310045587769715,0.006301862267453071,0.022719839797406882,0.008453450214361754,0.01010273529187821,0.01947759856331087,0.00882806187735603,0.0067668813324790675,0.025613219959818526,0.008683671262640153,0.009498075366766943,0.009091143363496836,0.0036936755859068074,0.005043947940070623,0.010283028769556066,0.0059274828956890095,0.006096447816785548,0.004681469366792129
Curvatures,2,3,0.019701025517248578,0.010249386930638116,0.005340318258543212,0.009234344692446413,0.01682411862359966,0.006059586615458728,0.019701025517248578,0.010238129382733956,0.0026004168379939146,0.017964177482239482,0.010117811128390912,0.019629319051671937,0.0071956710885908645,0.011615191579090764,0.007285132047128695,0.005392092542856707,0.003444727266393911,0.007344230972368472,0.009344216061996867
Curvatures,3,1,0.022857520594007884,0.009025996926127952,0.006976587959527965,0.006691199936777133,0.022857520594007884,0.005216772463114338,0.018298700763670704,0.00613349653135368,0.0003605270162435611,0.00812785951019953,0.004112261951314402,0.022149144123854582,0.006875637851147143,0.015429031463379088,0.010850147230362431,0.00028372315840721345,0.0009357820433197483,0.006029942876521548,0.010064203304374233
Curvatures,4,1,0.02644090983570764,0.009216830903030401,0.007373270875398131,0.02039844065750797,0.02644090983570764,0.007626027731595884,0.015274239877559943,0.0015365237453330819,0.00031067953662280095,0.002990511088850146,0.007459142777778255,0.016791709155901224,0.006185205822574664,0.013588639833501264,0.012582727928714153,0.006063808549414039,0.0003140877182411603,0.0031938164751002,0.0067128237140839835
Curvatures,5,0,0.02787373574660983,0.010113208512106599,0.007961639017311381,0.02787373574660983,0.026727304740138045,0.009957462975581016,0.009801919191608013,0.008498689582486486,0.0020824859034089924,0.013885676504230672,0.017507573630466497,0.007793404636250555,0.00484809348657805,0.008884822854468875,0.011091934806085977,0.009905655665419165,0.0013815532613460333,0.00017574777713085427,0.001395275431896542
Curvatures,6,0,0.0317930819236103,0.01032544512190711,0.009194776633248919,0.0317930819236103,0.021721240179867055,0.007850859419178124,0.006507418765467472,0.01361309508980025,0.0035118454622030766,0.022163384692295358,0.023103349628232194,0.0017397373141431515,0.0031663184328889473,0.002462298533125536,0.010029483845923283,0.010372448588957183,0.00058842132691372,0.003296067979760343,0.0032880707681477734
Curvatures,7,0,0.035318066377971566,0.010949887953646343,0.009687869968250959,0.035318066377971566,0.01118076623968068,0.0015075205501570898,0.00847932271933375,0.017925791615836344,0.0021490375824562385,0.02708628520512862,0.022989790997642572,0.009724377613999685,0.0014105381896768524,0.004164204211282161,0.012034234784252286,0.008502801180512623,0.0037654692565302914,0.0046342963270859265,0.004325704406794796
Curvatures,8,0,0.03839829141747735,0.011491459630265356,0.009771681198218732,0.03839829141747735,0.003193215061814571,0.007920840104495114,0.012094258591967565,0.02022990851472623,0.001102965402330835,0.02438325555066506,0.018111596247818086,0.014661642688879997,4.178280981474777e-05,0.009563284689040056,0.013677194915981458,0.004607493886352227,0.008286899640010396,0.0047325169179241065,0.002858207644947877
Curvatures,9,0,0.03988738109123905,0.01256993341895405,0.009356399469185853,0.03988738109123905,0.019420750458700876,0.01670932407186386,0.014475061159098973,0.018894394053748088,0.0044149222392414365,0.01300252085553012,0.011389346715667404,0.016570004667248166,0.0013426106986300635,0.014802746140476948,0.012997806285102017,0.0005806902541918254,0.010110591137398447,0.0052979701421720935,0.0012228147329554466
Curvatures,10,0,0.03746678171246516,0.012631240712478113,0.010632286431459083,0.03746678171246516,0.03400333810783808,0.021406244454760952,0.013769872041978614,0.013807520377954787,0.006564055723254514,0.0015448486185297835,0.004057523819209953,0.01625800148166037,0.002984034998995215,0.019452243282301107,0.010011840250348769,0.005844604592119935,0.008911975673701522,0.00597106191011462,4.590435441642533e-05
Curvatures,11,1,0.042683937594641584,0.012403596431112402,0.01087794687835682,0.028222884751921907,0.042683937594641584,0.022161509842709124,0.009330065946568584,0.005810023398566366,0.007837532393947133,0.01581298969530975,0.0027223744726369314,0.013409280046859944,0.004728203374360797,0.02070718972070135,0.004817850030951024,0.010345617051245945,0.004661081090865576,0.004737427107726919,0.00046957637878545464
Curvatures,12,1,0.0445347637675927,0.010941395320484356,0.011303326106284938,0.013279973664459776,0.0445347637675927,0.018983795875637637,0.004325556226240336,0.0024566556429799977,0.008156529082524278,0.02583061344071758,0.007279719806356674,0.009734230256734793,0.004900710456870721,0.018705716223093454,0.0013487802173077952,0.012389418410584744,0.0006081163768981526,0.0017809163317657774,0.0007468293479852636
Curvatures,13,1,0.03919246086150866,0.00941845055736437,0.010242511473903069,0.0032809695224429243,0.03919246086150866,0.0127785614483996,0.0020205417536381352,0.007504762226987537,0.00776367009969579,0.028687657499242777,0.009382955480656489,0.006393185013347317,0.002983127332406405,0.013267571997700697,0.001723776951952161,0.01090882984814196,0.0013354975833679604,0.002220837203585,0.0012508040947565107
Curvatures,14,1,0.027245906951156564,0.008407052970665504,0.008053973046139232,0.01753083944320084,0.027245906951156564,0.005807903677492366,0.001766537540558283,0.009630959010657891,0.006747593939282589,0.02719036018934574,0.007971696371697043,0.0036103047447718973,0.0008328979505509783,0.00549664254252531,0.0034354024858496055,0.00659055885018199,0.002251498722002027,0.00506496975696428,0.003338775354410666
Curvatures,15,0,0.025926446338056276,0.006936692908368807,0.007547493392298823,0.025926446338056276,0.012692373949582,0.0008441480685872819,0.002560562726621453,0.01083953204199727,0.005264278143670162,0.023991458813918645,0.0036903001027440287,0.002474933446470194,0.006445050765920031,0.0009077195517341385,0.004676004495203025,0.00155137042121172,0.0011861191375468754,0.004556791995029734,0.003379996535608077
Curvatures,16,0,0.0278709772226967,0.006276050351721248,0.007362657683979906,0.0278709772226967,0.0013550605101192326,0.0014907910975929986,0.004401860834607653,0.011441112651564745,0.0035782195039969094,0.018951285404393312,0.0009037689542110674,0.002438919366497348,0.011401645824752955,0.0047944865721412586,0.004445194658580442,0.002777652116451086,0.0013090093566989573,0.0012831289108476225,0.0019736926423876734
Curvatures,17,0,0.02424163163883184,0.0071199285803220215,0.006026582862928416,0.02424163163883184,0.012900206785936485,0.0013919043902930165,0.007654699007332962,0.011468239642480145,0.0016592149186204067,0.011927655938010909,0.004321915684371184,0.0024205611680892226,0.01310840051612454,0.0062677226170170745,0.002970692807432828,0.005667711659467858,0.0037050162588267424,0.0030708561778070216,0.0011424280745101004
Curvatures,18,1,0.01980404730970655,0.006985830212072789,0.005824436418438431,0.01669596232321315,0.01980404730970655,0.0004141459393019063,0.012979981475867526,0.010952356058240877,0.0002974580789455835,0.00499889945034775,0.005676864486081798,0.0015390709674729882,0.012268845624424068,0.006605239004708793,0.0006705780555613072,0.006579409551009969,0.005175149983766747,0.006240204629461808,0.0008750704550538109
Curvatures,19,1,0.02151850713992885,0.006527780178511352,0.006048878034617617,0.006916101758269758,0.02151850713992885,0.002398372264956582,0.019521116415915078,0.010087517118925918,0.0025084998746616747,0.0008833396392591663,0.004390030789192512,0.00041718441132044046,0.009190639407069939,0.007279623258390937,0.0015608836240838847,0.005419935714866159,0.004282608935052328,0.007279623033678491,0.0007904994706099142
